headline,category,authors,id,day and month
sam smith meet julie andrews practically perfect every way,QUEER VOICES,Curtis M. Wong,13024,Wed_Mar
11 movies leave netflix end december 2020,HOME & LIVING,Todd Van Luling,3474,Wed_Dec
woman climb bronx zoo exhibit taunt lion,WEIRD NEWS,David Moye,6052,Tue_Oct
vatican issue street art stamp end get sue,CULTURE & ARTS,"NICOLE WINFIELD, AP",2632,Fri_May
14 dead hundreds injure fiery south africa train crash,WORLD NEWS,,16997,Thu_Jan
appreciate appropriate holi celebrations,RELIGION,Carol Kuruvilla,13358,Fri_Mar
pose character find community new yorks ball scene,QUEER VOICES,Curtis M. Wong,9412,Fri_May
gay man say pope francis tell god make like love like,RELIGION,Dominique Mosbergen,8958,Mon_May
jane virgin officially add another latina director rank,LATINO VOICES,Carolina Moreno,16560,Wed_Jan
extwitter ceo ding elon musk attack twitter top lawyer,TECH,Sara Boboltz,778,Wed_Apr
rapper french montana launch campaign help dreamers go college,LATINO VOICES,Carolina Moreno,14253,Thu_Feb
twitter ceo jack dorsey call trump thoughts prayers tweet follow shoot,MEDIA,Ed Mazza,11500,Wed_Apr
lonely top people color corporate america ceos know,IMPACT,"Carol J. Clouse, On Assignment For HuffPost",16593,Wed_Jan
safe host thanksgiving year 6 precautions take,FOOD & DRINK,Erica Sweeney,1766,Wed_Oct
south korea raise alert highest level coronavirus case jump,WORLD NEWS,"Jane Chung and Emily Chow, Reuters",5261,Sun_Feb
west virginia teacher strike yet,EDUCATION,Dave Jamieson,13466,Wed_Feb
penguins find moment spotlight video selfie,SCIENCE,Carol Kuruvilla,12893,Fri_Mar
10 cool products thatll help sleep unbearably hot,WELLNESS,Nicole Pajer,2231,Thu_Aug
child labor palm oil industry tie girl scout cookies,BUSINESS,"ROBIN McDOWELL and MARGIE MASON, AP",3481,Tue_Dec
artist give renaissancestyle sculpture goofy modern twist,ARTS & CULTURE,Andy McDonald,16738,Mon_Jan
syrian refugee high school student hospitalize bathroom attack,RELIGION,Carol Kuruvilla,7586,Fri_Dec
course jesus black st doesnt happen white people,COMEDY,Ed Mazza,10745,Wed_Apr
infamous cristiano ronaldo sculptor get another try soccer star bust,SPORTS,Andy McDonald,11740,Fri_Mar
ceo take pay cut give employees 70000 year hes battle amazon,IMPACT,Gaby Hinsliff,9035,Sat_May
wildlife photographer years win photo valentines day treat,CULTURE & ARTS,Elyse Wanshel,7259,Thu_Feb
freeze star say anxiety attack cause miss broadway performance,ENTERTAINMENT,Curtis M. Wong,10634,Thu_Apr
china mark another milestone quest become space superpower,SCIENCE,,9113,Thu_May
tell kid theyre go sibling,PARENTS,Taylor Pittman,16807,Mon_Jan
retail group spoof ferris bueller ad bash donald trump tariff,POLITICS,Mary Papenfuss,9235,Tue_May
oscar isaac explain viral photo eat cheetos chopsticks,LATINO VOICES,Carolina Moreno,14346,Wed_Feb
high school sweethearts marry 63 years go prom,WEDDINGS,David Moye,5928,Tue_Oct
rashida jones golden globes red carpet blackout wont silent protest,WOMEN,Carolina Moreno,16927,Fri_Jan
trap internet desert detroit teens struggle stay online,IMPACT,"Kate Abbey-Lambertz, On Assignment For HuffPost",11820,Thu_Mar
seth meyers field day rudy giulianis diet pepsi claim,COMEDY,Josephine Harvey,510,Thu_Jun
princess charlotte look adorable picture first day school,STYLE,Carly Ledbetter,16827,Mon_Jan
rupauls drag race star 3 episode 3 recap bitchelors heart,QUEER VOICES,"INTO, Editorial Partner",14437,Mon_Feb
camila cabello get candid dramatic split fifth harmony,LATINO VOICES,Elyse Wanshel,16499,Thu_Jan
unite airlines mistakenly fly familys dog japan instead kansas city,TRAVEL,Hilary Hanson,12680,Wed_Mar
20 funniest tweet women week may 28june 3,WOMEN,Caroline Bologna,575,Fri_Jun
pope francis sex abuse summit miss huge opportunity center survivors,RELIGION,Carol Kuruvilla,7216,Thu_Feb
trump name strip panama hotel ugly fight tarnish brand,POLITICS,Mary Papenfuss,13143,Tue_Mar
pennsylvania school district arm 500 teachers mini baseball bat,EDUCATION,Hayley Miller,11095,Wed_Apr
15 nail art videos ridiculously mesmerize,STYLE,Julia Brucculieri,17058,Wed_Jan
caitlyn jenner trump administration set trans people back 20 years,QUEER VOICES,Curtis M. Wong,12848,Sun_Mar
13 useful mother day gift moms shell actually use,PARENTING,Danielle Gonzalez,4917,Mon_Apr
apple airpods sale arrive christmas,HOME & LIVING,Danielle Gonzalez,5590,Thu_Dec
